20240819_f1_angle,20240819_f2_angle,20240819_f3_angle,20240819_f4_angle,20240819_f5_angle,20240819_f6_angle,20240819_f7_angle,20240819_f8_angle,20240819_f9_angle,20240819_f10_angle,20240819_f11_angle,20240819_f12_angle,20240819_f13_angle,20240819_f14_angle,20240819_f15_angle,20240819_f16_angle,20240819_f17_angle,20240819_f18_angle,20240819_f19_angle,20240819_f20_angle,angle_average,angle_upper,angle_lower,Time [s]
-41,-43,-41,-41,-43,-42,-42,-42,-42,-41,-41,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.85,-41,-44,1.03
-41,-43,-41,-41,-43,-42,-42,-42,-42,-41,-41,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.85,-41,-44,1.04
-41,-43,-41,-41,-43,-42,-42,-42,-42,-41,-41,-41,-42,-41,-44,-42,-43,-41,-42,-42,-41.85,-41,-44,1.05
-41,-43,-41,-41,-43,-42,-41,-42,-41,-41,-41,-40,-42,-40,-44,-42,-43,-41,-42,-42,-41.65,-40,-44,1.06
-42,-43,-41,-41,-43,-42,-41,-42,-41,-41,-41,-40,-42,-40,-44,-42,-43,-41,-41,-42,-41.65,-40,-44,1.07
-41,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-40,-43,-42,-42,-41,-41,-42,-41.5,-40,-43,1.08
-42,-43,-41,-41,-42,-42,-41,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.5,-40,-43,1.09
-42,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.6,-40,-43,1.1
-42,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.6,-40,-43,1.11
-42,-43,-41,-41,-43,-42,-42,-41,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-41,-42,-41.6,-40,-43,1.12
-42,-43,-41,-41,-43,-42,-42,-42,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-42,-42,-41.7,-40,-43,1.13
-42,-44,-41,-41,-43,-42,-42,-42,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-42,-42,-41.75,-40,-44,1.14
-42,-44,-41,-41,-43,-43,-42,-42,-41,-41,-41,-40,-42,-41,-43,-42,-42,-41,-42,-42,-41.8,-40,-44,1.15
-43,-44,-41,-42,-43,-43,-42,-42,-41,-41,-42,-41,-42,-41,-43,-42,-43,-42,-42,-42,-42.1,-41,-44,1.16
-43,-44,-42,-42,-43,-43,-42,-42,-41,-41,-42,-41,-42,-41,-44,-42,-43,-42,-42,-43,-42.25,-41,-44,1.17
-43,-45,-42,-42,-44,-43,-42,-42,-41,-42,-42,-41,-42,-41,-44,-42,-43,-42,-42,-43,-42.4,-41,-45,1.18
-44,-45,-42,-43,-44,-43,-43,-42,-42,-42,-42,-41,-42,-41,-44,-42,-43,-42,-42,-43,-42.6,-41,-45,1.19
-44,-45,-42,-43,-44,-44,-43,-42,-42,-42,-42,-41,-43,-42,-44,-43,-43,-42,-42,-43,-42.8,-41,-45,1.2
-44,-45,-43,-43,-44,-44,-43,-43,-42,-42,-43,-41,-43,-42,-44,-43,-43,-43,-42,-43,-43.0,-41,-45,1.21
-45,-46,-43,-44,-45,-44,-44,-43,-42,-42,-43,-42,-43,-42,-44,-43,-43,-43,-43,-44,-43.4,-42,-46,1.22
-45,-46,-43,-44,-45,-45,-44,-43,-42,-43,-43,-42,-43,-42,-45,-43,-43,-43,-43,-44,-43.55,-42,-46,1.23
-46,-46,-44,-44,-45,-45,-44,-43,-42,-43,-44,-42,-43,-42,-45,-44,-44,-43,-43,-44,-43.8,-42,-46,1.24
-46,-47,-44,-45,-46,-45,-44,-43,-42,-43,-44,-42,-43,-43,-45,-44,-44,-44,-43,-44,-44.05,-42,-47,1.25
-46,-47,-44,-45,-46,-45,-45,-44,-42,-43,-44,-43,-44,-43,-45,-44,-44,-44,-44,-45,-44.35,-42,-47,1.26
-47,-47,-44,-45,-46,-46,-45,-44,-43,-44,-44,-43,-44,-43,-46,-44,-44,-44,-44,-45,-44.6,-43,-47,1.27
-47,-47,-45,-45,-47,-46,-45,-44,-43,-44,-45,-43,-44,-43,-46,-45,-44,-45,-44,-45,-44.85,-43,-47,1.28
-47,-48,-45,-45,-47,-46,-45,-44,-43,-44,-45,-43,-44,-44,-46,-45,-45,-45,-44,-45,-45.0,-43,-48,1.29
-47,-48,-45,-46,-47,-47,-46,-44,-43,-44,-45,-43,-44,-44,-46,-45,-45,-45,-45,-46,-45.25,-43,-48,1.3
-48,-48,-45,-46,-47,-47,-46,-45,-43,-44,-45,-44,-45,-44,-46,-46,-45,-45,-45,-46,-45.5,-43,-48,1.31
-48,-48,-46,-46,-47,-47,-46,-45,-43,-44,-46,-44,-45,-44,-46,-46,-45,-46,-45,-46,-45.65,-43,-48,1.32
-48,-48,-46,-46,-47,-47,-46,-45,-43,-45,-46,-44,-45,-44,-47,-46,-45,-46,-45,-46,-45.75,-43,-48,1.33
-48,-48,-46,-46,-48,-47,-46,-45,-43,-45,-46,-44,-45,-44,-47,-46,-45,-46,-45,-46,-45.8,-43,-48,1.34
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-46,-45.9,-44,-48,1.35
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-45.95,-44,-48,1.36
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-45.95,-44,-48,1.37
-48,-48,-46,-46,-48,-47,-46,-46,-44,-45,-46,-44,-45,-44,-47,-46,-46,-46,-45,-47,-46.0,-44,-48,1.38
-48,-48,-46,-46,-48,-47,-46,-45,-44,-45,-46,-44,-45,-45,-47,-46,-46,-46,-45,-47,-46.0,-44,-48,1.39
