20240819_w1_angle,20240819_w2_angle,20240819_w3_angle,20240819_w4_angle,20240819_w5_angle,20240819_w6_angle,20240819_w7_angle,20240819_w8_angle,20240819_w9_angle,20240819_w10_angle,20240819_w11_angle,20240819_w12_angle,20240819_w13_angle,20240819_w14_angle,20240819_w15_angle,20240819_w16_angle,20240819_w17_angle,20240819_w18_angle,20240819_w19_angle,20240819_w20_angle,angle_average,angle_upper,angle_lower,Time [s]
-30,-31,-29,-30,-27,-28,-28,-28,-28,-27,-28,-26,-26,-28,-29,-27,-29,-30,-28,-27,-28.2,-26,-31,1.0
-31,-31,-29,-30,-27,-28,-28,-29,-28,-27,-28,-26,-26,-28,-29,-27,-29,-30,-28,-27,-28.3,-26,-31,1.01
-31,-31,-29,-31,-27,-28,-28,-29,-28,-27,-28,-27,-26,-28,-29,-27,-29,-30,-28,-28,-28.45,-26,-31,1.02
-31,-31,-29,-31,-27,-28,-28,-29,-29,-27,-28,-27,-26,-28,-29,-27,-29,-30,-28,-28,-28.5,-26,-31,1.03
-31,-31,-29,-31,-27,-28,-28,-29,-29,-27,-28,-27,-26,-28,-29,-27,-30,-30,-28,-28,-28.55,-26,-31,1.04
-31,-31,-29,-31,-28,-28,-28,-29,-29,-27,-28,-27,-26,-29,-29,-28,-30,-30,-28,-28,-28.7,-26,-31,1.05
-31,-31,-29,-31,-28,-28,-29,-29,-29,-28,-28,-27,-26,-29,-29,-28,-30,-30,-28,-28,-28.8,-26,-31,1.06
-31,-31,-29,-31,-28,-28,-29,-29,-29,-28,-28,-27,-26,-29,-30,-28,-30,-30,-28,-28,-28.85,-26,-31,1.07
-31,-31,-29,-31,-28,-28,-29,-29,-29,-28,-29,-27,-27,-29,-30,-28,-30,-30,-28,-28,-28.95,-27,-31,1.08
-32,-32,-30,-31,-28,-29,-29,-29,-29,-28,-29,-28,-27,-29,-30,-28,-30,-30,-29,-28,-29.25,-27,-32,1.09
-32,-32,-30,-32,-29,-29,-29,-30,-30,-28,-29,-28,-27,-30,-30,-29,-31,-30,-29,-29,-29.65,-27,-32,1.1
-32,-32,-30,-32,-29,-29,-30,-30,-30,-28,-29,-28,-27,-30,-31,-29,-31,-30,-29,-29,-29.75,-27,-32,1.11
-32,-33,-31,-32,-29,-30,-30,-30,-30,-29,-29,-29,-28,-30,-31,-29,-31,-30,-29,-29,-30.05,-28,-33,1.12
-33,-33,-31,-33,-29,-30,-30,-31,-31,-29,-30,-29,-28,-31,-31,-30,-31,-31,-30,-29,-30.5,-28,-33,1.13
-33,-34,-31,-33,-30,-30,-31,-31,-31,-29,-30,-29,-28,-31,-32,-30,-32,-31,-30,-30,-30.8,-28,-34,1.14
-33,-34,-32,-33,-30,-31,-31,-31,-31,-30,-30,-30,-29,-31,-32,-30,-32,-31,-31,-30,-31.1,-29,-34,1.15
-34,-34,-32,-34,-31,-31,-32,-32,-32,-30,-31,-30,-29,-32,-33,-31,-33,-31,-31,-30,-31.65,-29,-34,1.16
-34,-35,-32,-34,-31,-32,-32,-32,-32,-30,-31,-30,-29,-32,-33,-31,-33,-31,-31,-31,-31.8,-29,-35,1.17
-35,-35,-33,-35,-32,-32,-32,-33,-33,-31,-32,-31,-30,-33,-34,-32,-33,-32,-32,-31,-32.55,-30,-35,1.18
-35,-36,-33,-35,-32,-33,-33,-33,-33,-31,-32,-31,-30,-33,-34,-32,-34,-32,-32,-32,-32.8,-30,-36,1.19
-35,-36,-34,-36,-33,-33,-33,-33,-33,-31,-32,-32,-31,-34,-34,-33,-34,-32,-33,-32,-33.2,-31,-36,1.2
-36,-37,-34,-36,-33,-33,-34,-34,-34,-32,-33,-32,-31,-34,-35,-33,-34,-33,-33,-33,-33.7,-31,-37,1.21
-36,-37,-34,-36,-34,-34,-34,-34,-34,-32,-33,-32,-31,-34,-35,-34,-35,-33,-33,-33,-33.9,-31,-37,1.22
-37,-38,-35,-37,-34,-34,-34,-35,-35,-33,-34,-33,-32,-35,-35,-34,-35,-33,-34,-33,-34.5,-32,-38,1.23
-37,-38,-35,-37,-34,-35,-35,-35,-35,-33,-34,-33,-32,-35,-36,-35,-35,-33,-34,-34,-34.75,-32,-38,1.24
-37,-39,-35,-37,-35,-35,-35,-35,-35,-33,-34,-33,-32,-35,-36,-35,-35,-34,-34,-34,-34.9,-32,-39,1.25
-37,-39,-35,-38,-35,-35,-35,-36,-36,-34,-34,-34,-33,-36,-36,-35,-36,-34,-35,-34,-35.35,-33,-39,1.26
-38,-39,-36,-38,-35,-35,-36,-36,-36,-34,-34,-34,-33,-36,-36,-36,-36,-34,-35,-35,-35.6,-33,-39,1.27
-38,-40,-36,-38,-36,-36,-36,-36,-36,-34,-35,-34,-33,-36,-37,-36,-36,-34,-35,-35,-35.85,-33,-40,1.28
-38,-40,-36,-38,-36,-36,-36,-36,-36,-34,-35,-34,-33,-36,-37,-36,-36,-35,-35,-35,-35.9,-33,-40,1.29
-38,-40,-36,-38,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-35,-35,-35.95,-33,-40,1.3
-38,-40,-36,-39,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.05,-33,-40,1.31
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.32
-38,-40,-36,-39,-36,-36,-36,-37,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.1,-33,-40,1.33
-38,-40,-36,-39,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.05,-33,-40,1.34
-38,-40,-36,-39,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.05,-33,-40,1.35
-38,-40,-36,-38,-36,-36,-36,-36,-36,-35,-35,-34,-33,-36,-37,-36,-36,-35,-36,-35,-36.0,-33,-40,1.36
